TransactionID,Items
1,"bread,milk,rice"
2,"jam,bread,beer"
3,"eggs,bread"
4,"chocolate,apple"
5,"banana,yogurt"
6,yogurt
7,"diaper,bread,lettuce"
8,"bread,sugar"
9,"yogurt,rice,cola,peanut_butter"
10,"apple,tea,chips"
11,"banana,toothpaste,bread,milk"
12,"milk,bread"
13,"chocolate,diaper"
14,"bread,milk,onion"
15,"chips,bread,rice"
16,"vinegar,chocolate,apple"
17,"sugar,beef,milk,bread"
18,"milk,bread"
19,"napkin,milk,soap,diaper,cookies,beer"
20,"milk,apple"
21,"banana,honey"
22,"bread,almond_milk,cola"
23,bread
24,"cheese,beer,bread,diaper"
25,"cola,cucumber,flour,bread,cereal,shampoo,milk"
26,"bread,beer,tomato"
27,"milk,eggs,bread,cookies,oil"
28,"chocolate,chips"
29,"chicken,cola"
30,"cola,bread,milk"
31,"napkin,coffee,milk,bread,potato"
32,"eggs,bread"
33,"beef,bread,eggs,apple"
34,"oil,beer"
35,"cola,rice"
36,"milk,soy_sauce"
37,"beer,cola,bread,milk"
38,"banana,milk"
39,"bread,chocolate"
40,"nuts,flour"
41,"milk,soap"
42,"bread,onion"
43,"eggs,butter,yogurt"
44,"bread,beer"
45,"eggs,rice,shampoo"
46,"bread,diaper,flour,milk,beer"
47,"milk,watermelon"
48,"flour,apple,bread"
49,"coffee,cucumber,watermelon,salt,bread,eggs,diaper"
50,"diaper,mayonnaise"
51,"butter,beer"
52,"lettuce,soy_sauce,apple"
53,"bread,milk,cucumber,banana"
54,"pasta,bread,banana"
55,"salt,bread,lettuce"
56,"bread,banana"
57,"milk,bread,jam"
58,"chips,beer,banana"
59,"onion,bread,cereal"
60,"diaper,shampoo"
61,"milk,chicken"
62,"beer,almond_milk"
63,"bread,milk,spinach,water,napkin,diaper"
64,"toothpaste,chips,vinegar,soap,bread"
65,"milk,soap,onion,bread"
66,"apple,milk"
67,"cereal,bread,chocolate,milk"
68,"nuts,sugar,bread"
69,"milk,bread,beef"
70,"milk,pasta,apple,beer"
71,bread
72,"nuts,apple,coffee,banana,bread"
73,"milk,honey"
74,"flour,honey,bread,milk"
75,"butter,water"
76,"chips,bread,spinach"
77,"peanut_butter,orange,water,bread,rice"
78,"spinach,yogurt"
79,"orange,milk,butter,bread,oil"
80,"milk,orange,beer,cheese"
81,bread
82,"flour,cucumber"
83,"chocolate,diaper"
84,"cola,onion,bread,cucumber,carrot,milk"
85,"rice,milk,chips"
86,"diaper,banana,milk"
87,"bread,watermelon,cola,cereal"
88,"soap,diaper,bread"
89,"milk,sugar"
90,"milk,beer,diaper"
91,"bread,beer"
92,"shampoo,nuts,chips,milk,apple,bread"
93,"beer,banana"
94,"eggs,beer,bread"
95,"cheese,bread,cola,chocolate,diaper"
96,"pasta,shampoo,milk,bread"
97,"eggs,salt"
98,"beer,chocolate"
99,"toothpaste,eggs"
100,"soap,bread"
101,"beef,bread,beer"
102,"cola,bread,milk,salt,beer,yogurt,soap"
103,"banana,potato,jam,chips,cereal,eggs,coffee,apple"
104,"pasta,eggs,milk,chocolate"
105,"cola,chips,milk,bread"
106,milk
107,"bread,milk,toothpaste"
108,"bread,beer,cola"
109,"beer,nuts"
110,"toothpaste,flour,beef"
111,"bread,diaper,chicken"
112,"tomato,beer,pasta,apple,banana"
113,"bread,beer"
114,diaper
115,"diaper,bread,eggs"
116,"bread,diaper,apple"
117,"bread,beer,diaper"
118,"milk,chicken"
119,"chicken,coffee,milk"
120,"bread,cola"
121,"diaper,chocolate,butter,soap,chicken,potato,bread"
122,"bread,soap"
123,"bread,toothpaste,beef"
124,"chips,pasta"
125,"orange,carrot"
126,"bread,milk"
127,"lettuce,diaper,cereal,bread"
128,"chips,bread,beef,salt"
129,"bread,mayonnaise,butter,diaper"
130,"diaper,eggs"
131,"tea,bread,lettuce,chocolate"
132,"beer,rice,carrot,milk"
133,"cola,eggs,beer,rice,milk"
134,"coffee,bread,water,milk,eggs"
135,"diaper,bread,salt"
136,"cheese,diaper"
137,"toothpaste,milk,bread,potato"
138,"eggs,chicken,toothpaste,chocolate"
139,"cheese,bread"
140,"milk,banana,eggs,cola"
141,"pasta,milk,toothpaste"
142,"milk,bread"
143,"bread,cola"
144,"bread,eggs,rice"
145,"cola,milk,bread"
146,"milk,peanut_butter,apple"
147,"bread,oil,eggs"
148,"eggs,beer,bread"
149,"garlic,eggs"
150,"diaper,bread,chocolate"
151,"milk,soy_sauce,bread"
152,"chips,cheese,milk,cola"
153,"beer,flour,vinegar"
154,chips
155,"potato,bread,soap"
156,bread
157,beer
158,"milk,cereal"
159,"beer,shampoo,watermelon,butter"
160,"soap,spinach,beer,apple"
161,"nuts,tea,bread"
162,"pasta,apple"
163,"bread,shampoo"
164,"garlic,eggs,bread"
165,beer
166,"milk,bread"
167,"coffee,apple,potato,almond_milk,shampoo,milk,bread"
168,"eggs,soap,juice,bread"
169,"chocolate,eggs,bread"
170,"milk,soap"
171,"milk,toothpaste,garlic,orange"
172,"beer,milk"
173,"diaper,cola,vinegar,soap,beer,bread"
174,"chicken,chips"
175,"apple,watermelon"
176,"toothpaste,bread,peanut_butter"
177,"milk,bread,apple"
178,"soy_sauce,cookies"
179,"bread,coffee,eggs"
180,"cola,milk,coffee,ketchup"
181,"apple,diaper"
182,"cola,napkin,flour,milk,cheese,beer"
183,"cola,tea,milk,banana,almond_milk"
184,"bread,cola,diaper"
185,"cola,beer,milk"
186,"toothpaste,apple"
187,"beef,bread"
188,"toothpaste,orange,diaper,soap"
189,"ketchup,eggs,bread,banana"
190,"napkin,beer,cola,cereal"
191,"soap,bread,eggs"
192,"diaper,toothpaste,chocolate,salt,flour"
193,"cereal,chicken"
194,"bread,chocolate,juice,almond_milk"
195,"beer,bread,chocolate,oil"
196,"toothpaste,nuts,bread"
197,"milk,diaper,bread,cola"
198,"cheese,bread"
199,"chips,milk,cookies,bread,beer"
200,"milk,bread"
201,"honey,shampoo,bread,beer,diaper"
202,"chocolate,beer,milk"
203,"bread,diaper,eggs,milk,apple"
204,"soy_sauce,milk,ketchup"
205,"milk,apple,shampoo,pasta"
206,chips
207,"nuts,milk,cheese"
208,"diaper,chocolate,chips,shampoo"
209,"soap,coffee,chips,nuts"
210,"milk,beer,banana,rice"
211,"milk,pasta"
212,"bread,cola"
213,"cola,cookies,coffee,milk,tea,eggs,yogurt"
214,"diaper,bread,carrot"
215,"flour,rice,ketchup,cucumber,yogurt,diaper,cheese"
216,cola
217,"shampoo,banana"
218,"garlic,bread,milk,water"
219,"cookies,bread"
220,"cookies,milk,beer,bread,potato"
221,"eggs,bread"
222,"bread,beer,soap,pasta,potato"
223,"pasta,bread,beer"
224,"eggs,beer"
225,"bread,diaper,beer,potato,salt,shampoo"
226,"ketchup,diaper"
227,"bread,sugar"
228,"soap,chocolate,banana"
229,butter
230,"bread,apple"
231,"beef,bread"
232,"oil,milk"
233,"honey,bread"
234,"bread,milk,soap"
235,bread
236,"milk,bread"
237,"cola,pasta,eggs,butter"
238,"bread,eggs,potato"
239,butter
240,"cola,beer,carrot,bread,eggs"
241,"shampoo,eggs,cookies"
242,"bread,chips"
243,"milk,chocolate"
244,"milk,soy_sauce,cola"
245,"chips,bread,toothpaste"
246,"chocolate,beef,cereal,bread,beer"
247,"diaper,beer"
248,"bread,beer,soap"
249,"bread,watermelon"
250,"bread,pasta,orange,apple"
251,"apple,milk,bread"
252,"soap,pasta,oil"
253,"cucumber,banana,diaper"
254,"soap,milk"
255,"sugar,diaper"
256,"apple,yogurt,sugar,peanut_butter"
257,"chips,chocolate,bread,spinach,tea"
258,"bread,toothpaste"
259,"diaper,bread"
260,"apple,diaper,bread,chocolate"
261,"bread,beer,diaper"
262,"butter,apple,bread"
263,"chips,shampoo"
264,"soap,eggs"
265,"milk,chicken,bread"
266,"milk,shampoo,eggs"
267,"bread,diaper,banana"
268,bread
269,"milk,bread"
270,"bread,diaper,toothpaste,eggs"
271,"yogurt,bread,flour"
272,"flour,apple,cereal,beer,bread"
273,milk
274,"chips,coffee,juice,bread,sugar"
275,"banana,cola"
276,"milk,diaper"
277,"cola,bread"
278,"nuts,diaper,rice"
279,"orange,milk,bread,banana"
280,"soap,bread,beef,eggs"
281,"chicken,beer,watermelon,apple"
282,"chips,flour,bread"
283,"beer,milk"
284,"bread,eggs"
285,"beer,bread"
286,"bread,flour,salt,chips,eggs"
287,"apple,cheese,honey"
288,"yogurt,soap,milk"
289,bread
290,"diaper,cereal,eggs,bread,milk"
291,"beer,cola,bread"
292,"milk,beer,diaper"
293,"cheese,chocolate,bread"
294,"shampoo,milk"
295,"soap,nuts,napkin,milk"
296,"bread,diaper,cucumber"
297,"diaper,banana,onion,milk"
298,"cheese,orange,soap"
299,"pasta,shampoo,cola,chocolate,beer"
300,"diaper,bread"
301,"eggs,milk,bread,sugar"
302,"coffee,water,bread,diaper"
303,"bread,diaper,coffee"
304,"yogurt,bread,beer"
305,"milk,beer,pasta"
306,"cola,milk,yogurt"
307,"coffee,diaper,potato"
308,"beer,milk,diaper,cola,carrot,orange,yogurt,bread"
309,"chocolate,napkin"
310,"bread,sugar,salt"
311,"chicken,milk"
312,"bread,beer,potato,diaper"
313,bread
314,"milk,soy_sauce,diaper"
315,spinach
316,"chocolate,cheese,bread,milk,tea"
317,"bread,toothpaste,beer"
318,"milk,coffee"
319,"rice,cola,bread"
320,"milk,bread"
321,"cheese,beer,bread"
322,"banana,bread,cola,milk,beer"
323,"milk,beer,soap,bread"
324,"bread,cola,eggs,vinegar,apple,diaper"
325,"ketchup,milk,bread,butter"
326,"rice,chips"
327,"rice,milk,bread,apple"
328,"bread,butter,eggs,toothpaste,chocolate"
329,"bread,beef,beer,milk"
330,"bread,spinach"
331,"vinegar,cola,milk"
332,"bread,diaper,butter,oil"
333,"bread,diaper"
334,"pasta,jam,diaper,peanut_butter,eggs"
335,"watermelon,cola,yogurt"
336,"bread,banana,tea,apple"
337,"bread,soap"
338,"banana,beer"
339,"diaper,bread,oil"
340,"milk,ketchup,potato,bread,chocolate,diaper,yogurt,shampoo"
341,"bread,chips,butter,diaper"
342,"apple,chips,shampoo"
343,"diaper,chicken,apple,cola,chocolate"
344,"bread,rice"
345,"diaper,apple,milk"
346,"beer,almond_milk"
347,"juice,eggs"
348,"salt,beer"
349,"beer,bread,shampoo,sugar,milk"
350,"bread,cola"
351,"salt,cereal,watermelon,chocolate,cheese"
352,bread
353,"bread,apple,diaper,yogurt"
354,"chips,bread,milk"
